fecha;activo;Resultado;Ratio;Temporalidad;Hora de entrada;Rango;AVG;detalle de la operacion;mejoras;Foto
2/1/2025;NQ1!;No dio entrada;;5m;;;;No da entrada porque no hay cambio de estructura. Tambien pude observar que el precio no forma rango durante Asia sino que esta en tendendia. Tal vez tendria que llevar un registro de esto tambien;;1
3/1/2025;NQ1!;Perdida;1,85/1;1m;03:20;54;71,8125;Dio entrada con cambio de estructura en 1 minuto pero no llego a TP;Llevar registro de operativa para tener una estadistica de aciertos y perdidas en base a la cantidad de puntos que tiene el rango de Asia;2
3/1/2025;EURUSD;Ganada;3/1;1m;00:23;0,00082;0,001252;Da entrada al romper rango y meterse, como rompe con una vela muy fuerte la entrada la da al pasar la media de 21.;Estudiar este caso en el trading plan para aumentar el beneficio.;3
6/1/2025;NQ1!;No dio entrada;;5m;;41,5;65,75;No llega a meterse nuevamente en el rango, durante la sesion fue tendencial;;4
6/1/2025;EURUSD;No dio entrada;;5m;;0,00171;0,001192;No llega a meterse nuevamente en el rango, durante la sesion fue tendencial;;5
7/1/2025;NQ1!;Ganada;1,66/1;5m;02:05;69,75;72;Se forma un rango a la baja, el precio rompe con fuerza el piso y se gira. Da entrada con un cambio estructural de corto plazo, la primera vela que entra en el rango y que sumado esta por arriba de la EMA21. Para el TP mido con fibonacci la manipulacion y salgo en el -2;;6
7/1/2025;EURUSD;No dio entrada;;5m;;0,00181;0,001322;No llega a meterse nuevamente en el rango, durante la sesion fue tendencial;;7
8/1/2025;NQ1!;Ganada;1,66/1;1m;02:51;52,5;65,1;Se forma un rango, el precio rompe con fuerza el piso y se gira (5m). Da entrada con un cambio estructural de corto plazo en 1m, la primera vela que entra en el rango y que sumado esta por arriba de la EMA21. Para el TP mido con fibonacci la manipulacion y salgo en el -2. El SL lo pongo debajo del ultimo minimo que me hace el cambio de estructura.;En este caso el precio llega al techo del rango dando un movimiento de 51 puntos.;8
8/1/2025;EURUSD;Ganada;2 /1;5m;01:20;0,00095;0,001312;Se forma rango, el precio tiene un pequeño rompimiento en el techo y amaga a meterse, no entro porque no esta por debajo de la EMA en 5m y tampoco hay un cambio estructural. Eso me salvo que se vaya a SL en esta operación porque volvio al alza. El precio va rapidamente al piso del rango danto TP. No se utiliza el fibonacci ya que el -2 queda pegado a la entrada. ;;9
9/1/2025;NQ1!;Perdida;1,7 /1;5m;03:40;;;Se sigue entrada PO3, el precio se va a SL.;Analizar la cantidad de puntos, en esta operación da 32 puntos y luego se gira;10
9/1/2025;EURUSD;Perdida;1,2/1;5m;01:45;0,00159;0,001316;El precio realiza un rango y rompe el piso, sube arriba de la media y da entrada. Rapidamente toca SL.;El precio no llego a la apertura del dia (true day open), si reviso el grafico tenia los minimos de NY del dia anterior, por lo que el precio toma liquidez de los minimos y se gira al alza.;11
10/1/2025;NQ1!;Ganada;1,5/1;5m;00:55;120,25;67,65;Se entra por PO3, cabe destacar que el precio no hace rango en asia, sino que entra tendencialmente al alza marcando 120 puntos, luego hace un amague corto para ir a la baja.;;12
10/1/2025;EURUSD;Ganada;2/1;5m;02:05;0,0011;0,001434;Entrada PO3, con la particularidad que el precio sigue de largo del rango de Asia y va a tomar los minimos de Londres del dia anterior. Hace el amague y entro una vez que el precio se vuelve a meter y termina por encima de la EMA21,;Esta operación la pude realizar ya estudie el caso del dia 9/1 en EURUSD en donde hizo lo mismo. Tengo que seguir estudiando las entradas para sumar mas porcentaje de acierto.;13
14/1/2025;NQ1!;Perdida;1,85/1;5m;01:35;;;;Para estudiar y mejorar las entradas, esta no habia cambio de estructura en 5m pero si en 1m y se va derecho a SL.;14
14/1/2025;NQ1!;Perdida;1,2/1;5m;02:45;55;85,1;;Para estudiar y mejorar las entradas, esta no habia cambio de estructura en 5m pero si en 1m y se va derecho a SL.;15
15/1/2025;NQ1!;No dio entrada;none;5m;;36,5;81,9;Rango muy pequeño para su operación;;16
